metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
inv_kl_divergence,inv_kl_divergence,adsgan,192,,,,step_192_real.parquet,step_192_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,384,,,,step_384_real.parquet,step_384_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,576,,,,step_576_real.parquet,step_576_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,768,,,,step_768_real.parquet,step_768_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,960,,,,step_960_real.parquet,step_960_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,1152,,,,step_1152_real.parquet,step_1152_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,1344,,,,step_1344_real.parquet,step_1344_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,1536,,,,step_1536_real.parquet,step_1536_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,1728,,,,step_1728_real.parquet,step_1728_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,1920,,,,step_1920_real.parquet,step_1920_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,adsgan,2112,,,,step_2112_real.parquet,step_2112_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,bayesian_network,192,,,,step_192_real.parquet,step_192_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,bayesian_network,384,,,,step_384_real.parquet,step_384_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,bayesian_network,576,,,,step_576_real.parquet,step_576_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,bayesian_network,768,,,,step_768_real.parquet,step_768_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,bayesian_network,960,,,,step_960_real.parquet,step_960_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
inv_kl_divergence,inv_kl_divergence,bayesian_network,1152,,,,step_1152_real.parquet,step_1152_synth.parquet,"Cannot setitem on a Categorical with a new category (0), set the categories first"
