metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
CVC,CVC,adsgan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,adsgan,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,adsgan,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,adsgan,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,adsgan,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,adsgan,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,adsgan,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,adsgan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,adsgan,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,adsgan,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,adsgan,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,bayesian_network,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,bayesian_network,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,bayesian_network,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,bayesian_network,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,bayesian_network,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,bayesian_network,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,bayesian_network,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,bayesian_network,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,bayesian_network,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,bayesian_network,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,bayesian_network,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,ctgan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,ctgan,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,ctgan,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,ctgan,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,ctgan,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,ctgan,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,ctgan,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,ctgan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,ctgan,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,ctgan,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,ctgan,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,ddpm,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,ddpm,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,ddpm,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,ddpm,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,ddpm,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,ddpm,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,ddpm,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,ddpm,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,ddpm,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,ddpm,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,ddpm,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,decaf,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,decaf,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,decaf,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,decaf,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,decaf,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,decaf,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,decaf,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,decaf,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,decaf,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,decaf,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,decaf,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,dpgan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,dpgan,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,dpgan,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,dpgan,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,dpgan,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,dpgan,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,dpgan,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,dpgan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,dpgan,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,dpgan,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,dpgan,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,great,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,great,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,great,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,great,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,nflow,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,nflow,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,nflow,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,nflow,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,nflow,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,nflow,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,nflow,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,nflow,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,nflow,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,nflow,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,nflow,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,pategan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,pategan,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,pategan,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,pategan,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,pategan,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,pategan,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,pategan,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,pategan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,pategan,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,pategan,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,pategan,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,rtvae,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,rtvae,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,rtvae,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,rtvae,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,rtvae,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,rtvae,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
CVC,CVC,rtvae,1344,1.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
CVC,CVC,rtvae,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
CVC,CVC,rtvae,1728,1.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
CVC,CVC,rtvae,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
CVC,CVC,rtvae,2112,1.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
CVC,CVC,tvae,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
CVC,CVC,tvae,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
CVC,CVC,tvae,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
CVC,CVC,tvae,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
CVC,CVC,tvae,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
CVC,CVC,tvae,1152,1.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
