metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
DCSM,DCSM,adsgan,192,0.8998906852309994,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,adsgan,384,0.8995782285599518,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,adsgan,576,0.7256951743908264,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,adsgan,768,0.5630471223691563,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,adsgan,960,0.5785788768061969,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,adsgan,1152,0.5458225527730306,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,adsgan,1344,0.5235613232634826,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,adsgan,1536,0.5133407309303074,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,adsgan,1728,0.556869881710646,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DCSM,DCSM,adsgan,1920,0.5217919131415744,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,adsgan,2112,0.5403355526519903,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,bayesian_network,192,0.8921811173120074,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,bayesian_network,384,0.8870972369666886,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,bayesian_network,576,0.6540850453893933,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,bayesian_network,768,0.6084645471868418,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,bayesian_network,960,0.5828530176809634,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,bayesian_network,1152,0.5834677919821273,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,bayesian_network,1344,0.5787273039692995,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,bayesian_network,1536,0.5777284604646168,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,bayesian_network,1728,0.5839765330211191,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DCSM,DCSM,bayesian_network,1920,0.5853094274146906,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,bayesian_network,2112,0.5940937319430923,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,ctgan,192,0.9005235602094243,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,ctgan,384,0.9029351849195191,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,ctgan,576,0.618671763019589,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,ctgan,768,0.5419000816654012,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,ctgan,960,0.5441565733536536,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,ctgan,1152,0.5393398955518853,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,ctgan,1344,0.5702257533977564,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,ctgan,1536,0.5401940079464508,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,ctgan,1728,0.5258626723594877,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DCSM,DCSM,ctgan,1920,0.5429338769620167,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,ctgan,2112,0.5258067370810147,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,ddpm,192,0.8473620620217479,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,ddpm,384,0.9208389521705449,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,ddpm,576,0.49716196846631633,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,ddpm,768,0.45929863270150095,767,767,step_768_real.parquet,step_768_synth.parquet,"Dropped constant cols: SMOKE(real=2,synth=1)"
DCSM,DCSM,ddpm,960,0.47441817827636396,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,ddpm,1152,0.40855061532733117,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,ddpm,1344,0.5672391644096783,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,ddpm,1536,0.5906289150588825,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,ddpm,1728,0.6358927696507315,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DCSM,DCSM,ddpm,1920,0.5730147913576783,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,ddpm,2112,0.6427712505400804,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,decaf,192,0.8568551866981186,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,decaf,384,0.8785183484922388,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,decaf,576,0.587233635929288,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,decaf,768,0.5490207315500667,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,decaf,960,0.49643057672254753,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,decaf,1152,0.513800708414088,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,decaf,1344,0.4845311055288716,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,decaf,1536,0.454597845151591,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,"Dropped constant cols: SMOKE(real=2,synth=1)"
DCSM,DCSM,decaf,1728,0.46467120989413985,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,"Dropped constant cols: SCC(real=2,synth=1)"
DCSM,DCSM,decaf,1920,0.4489317352787911,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,"Dropped constant cols: SMOKE(real=2,synth=1)"
DCSM,DCSM,decaf,2112,0.4235167958521819,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,dpgan,192,0.3212128185950176,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,dpgan,384,0.4013427825438268,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,dpgan,576,0.12837075967510747,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,dpgan,768,0.03891588637351345,767,767,step_768_real.parquet,step_768_synth.parquet,"Dropped constant cols: family_history_with_overweight(real=2,synth=1), NObeyesdad(real=7,synth=1)"
DCSM,DCSM,dpgan,960,0.044712326255600475,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,dpgan,1152,0.12290316113078927,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,dpgan,1344,0.04906188376032008,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,dpgan,1536,0.026166016394029424,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,dpgan,1728,0.06962570338366525,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,"Dropped constant cols: CAEC(real=4,synth=1)"
DCSM,DCSM,dpgan,1920,0.04282793808588495,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,dpgan,2112,0.044419341908683393,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,great,192,0.8742880156492722,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,great,384,0.8779732017329929,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,great,576,0.868609651218347,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,great,768,0.8052924910812786,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,nflow,192,0.8674989931534434,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,nflow,384,0.8563107910366398,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,nflow,576,0.596923076923077,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,nflow,768,0.5523589839104832,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,nflow,960,0.511567681536399,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,nflow,1152,0.5228420580288521,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,nflow,1344,0.5200674232692104,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,nflow,1536,0.5065253964276767,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,nflow,1728,0.5145936865682089,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DCSM,DCSM,nflow,1920,0.49620624294933824,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,nflow,2112,0.4994351929453778,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,pategan,192,0.7274034865657902,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,pategan,384,0.8912862594324734,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,pategan,576,0.4559388437649307,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,pategan,768,0.45206814046448995,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,pategan,960,0.5037871409091429,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,pategan,1152,0.43963681843786107,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,pategan,1344,0.4725929320121428,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,pategan,1536,0.47980813974299324,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DCSM,DCSM,pategan,1728,0.5134737873591377,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DCSM,DCSM,pategan,1920,0.5356727691276937,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DCSM,DCSM,pategan,2112,0.5592422735956606,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DCSM,DCSM,rtvae,192,0.8833784017030089,191,191,step_192_real.parquet,step_192_synth.parquet,
DCSM,DCSM,rtvae,384,0.8935816142082461,383,383,step_384_real.parquet,step_384_synth.parquet,
DCSM,DCSM,rtvae,576,0.5522790253225035,575,575,step_576_real.parquet,step_576_synth.parquet,
DCSM,DCSM,rtvae,768,0.4754359069874063,767,767,step_768_real.parquet,step_768_synth.parquet,
DCSM,DCSM,rtvae,960,0.422143029025198,959,959,step_960_real.parquet,step_960_synth.parquet,
DCSM,DCSM,rtvae,1152,0.4255831049923143,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DCSM,DCSM,rtvae,1344,0.43052703067595094,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DCSM,DCSM,rtvae,1536,0.4314851272505995,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
