metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
DPCM,dpcm,adsgan,192,0.9740545895629763,191,191,step_192_real.parquet,step_192_synth.parquet,
DPCM,dpcm,adsgan,384,0.9617410196337383,383,383,step_384_real.parquet,step_384_synth.parquet,
DPCM,dpcm,adsgan,576,0.9916012456756512,575,575,step_576_real.parquet,step_576_synth.parquet,
DPCM,dpcm,adsgan,768,0.9688847283298968,767,767,step_768_real.parquet,step_768_synth.parquet,
DPCM,dpcm,adsgan,960,0.9601055053485942,959,959,step_960_real.parquet,step_960_synth.parquet,
DPCM,dpcm,adsgan,1152,0.9908909073657609,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DPCM,dpcm,adsgan,1344,0.9712716192752858,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DPCM,dpcm,adsgan,1536,0.9709913103814198,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
DPCM,dpcm,adsgan,1728,0.9509602045023864,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
DPCM,dpcm,adsgan,1920,0.9692565838603265,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
DPCM,dpcm,adsgan,2112,0.9768434136625909,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
DPCM,dpcm,bayesian_network,192,0.8745688198249155,191,191,step_192_real.parquet,step_192_synth.parquet,
DPCM,dpcm,bayesian_network,384,0.9076697230371606,383,383,step_384_real.parquet,step_384_synth.parquet,
DPCM,dpcm,bayesian_network,576,0.9539386385226373,575,575,step_576_real.parquet,step_576_synth.parquet,
DPCM,dpcm,bayesian_network,768,0.933319883321281,767,767,step_768_real.parquet,step_768_synth.parquet,
DPCM,dpcm,bayesian_network,960,0.9448368678324549,959,959,step_960_real.parquet,step_960_synth.parquet,
DPCM,dpcm,bayesian_network,1152,0.9728090978650664,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
DPCM,dpcm,bayesian_network,1344,0.9776228546169229,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
DPCM,dpcm,bayesian_network,1536,0.9875573895914629,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
