metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
Mixed,Mixed,adsgan,192,0.6883570181999501,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,adsgan,384,0.7526420489866965,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,adsgan,576,0.665175983436853,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,adsgan,768,0.5897746321475135,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,adsgan,960,0.6084214707780923,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,adsgan,1152,0.5793306027884656,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,adsgan,1344,0.570347126192249,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,adsgan,1536,0.5744222118814952,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,adsgan,1728,0.5613643256955358,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
Mixed,Mixed,adsgan,1920,0.515310553611752,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,adsgan,2112,0.5781168933703278,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,bayesian_network,192,0.8086512091747695,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,bayesian_network,384,0.8024990675121224,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,bayesian_network,576,0.6916770186335404,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,bayesian_network,768,0.6908176569193518,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,bayesian_network,960,0.6614777297780426,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,bayesian_network,1152,0.6659012866658393,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,bayesian_network,1344,0.6665602950040777,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,bayesian_network,1536,0.6749961222273926,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,bayesian_network,1728,0.6689828218490639,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
Mixed,Mixed,bayesian_network,1920,0.6659346385766397,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,bayesian_network,2112,0.6710202792628184,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,ctgan,192,0.7676389927698828,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,ctgan,384,0.7442496580877782,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,ctgan,576,0.6404140786749482,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,ctgan,768,0.5762401440367542,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,ctgan,960,0.5995828988529718,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,ctgan,1152,0.5576724173596459,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,ctgan,1344,0.5574938836294011,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,ctgan,1536,0.5943074298123158,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,ctgan,1728,0.5040670582071856,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
Mixed,Mixed,ctgan,1920,0.5505967890022085,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,ctgan,2112,0.5711127653335137,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,ddpm,192,0.6236599351782598,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,ddpm,384,0.769426830784533,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,ddpm,576,0.16169772256728776,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,ddpm,768,0.15996389529635943,767,767,step_768_real.parquet,step_768_synth.parquet,"Dropped constant cols: SMOKE(real=2,synth=1)"
Mixed,Mixed,ddpm,960,0.1751328268533691,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,ddpm,1152,0.21680939969384797,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,ddpm,1344,0.5040598517888168,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,ddpm,1536,0.5349619978284474,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,ddpm,1728,0.5769156533487744,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
Mixed,Mixed,ddpm,1920,0.5233628626020496,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,ddpm,2112,0.6178633461911529,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,decaf,192,0.25766641735228124,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,decaf,384,0.37013552157155294,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,decaf,576,0.25726708074534155,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,decaf,768,0.33743093065126967,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,decaf,960,0.47857391131635135,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,decaf,1152,0.3448347192917132,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,decaf,1344,0.3751019395099812,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,decaf,1536,0.42341936022717785,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,"Dropped constant cols: SMOKE(real=2,synth=1)"
Mixed,Mixed,decaf,1728,0.36709574926135435,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,"Dropped constant cols: SCC(real=2,synth=1)"
Mixed,Mixed,decaf,1920,0.40965513555404126,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,"Dropped constant cols: SMOKE(real=2,synth=1)"
Mixed,Mixed,decaf,2112,0.3351717759581331,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,dpgan,192,0.19820493642483172,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,dpgan,384,0.24810394131542957,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,dpgan,576,0.1804968944099379,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,dpgan,768,0.0756917282341011,767,767,step_768_real.parquet,step_768_synth.parquet,"Dropped constant cols: family_history_with_overweight(real=2,synth=1), NObeyesdad(real=7,synth=1)"
Mixed,Mixed,dpgan,960,0.1265951636128904,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,dpgan,1152,0.11619295850399243,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,dpgan,1344,0.06240470871893058,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,dpgan,1536,0.044129052272374715,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,dpgan,1728,0.09806541653675413,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,"Dropped constant cols: CAEC(real=4,synth=1)"
Mixed,Mixed,dpgan,1920,0.08346360951884661,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,dpgan,2112,0.061627303692675536,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,great,192,0.7884567439541262,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,great,384,0.8072858386174312,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,great,576,0.8384265010351966,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,great,768,0.8022909294095735,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,nflow,192,0.7727499376714035,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,nflow,384,0.7967798085291558,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,nflow,576,0.6658385093167701,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,nflow,768,0.628236170609052,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,nflow,960,0.5972491186255524,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,nflow,1152,0.6055603822762815,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,nflow,1344,0.5818707229727335,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,nflow,1536,0.5679540871723282,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,nflow,1728,0.5891444012463121,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
Mixed,Mixed,nflow,1920,0.5517506637881834,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,nflow,2112,0.5202341476619071,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,pategan,192,0.32610321615557214,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,pategan,384,0.5848563968668407,383,383,step_384_real.parquet,step_384_synth.parquet,
Mixed,Mixed,pategan,576,0.432463768115942,575,575,step_576_real.parquet,step_576_synth.parquet,
Mixed,Mixed,pategan,768,0.27674303098031916,767,767,step_768_real.parquet,step_768_synth.parquet,
Mixed,Mixed,pategan,960,0.5134068225830479,959,959,step_960_real.parquet,step_960_synth.parquet,
Mixed,Mixed,pategan,1152,0.5012411567580987,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
Mixed,Mixed,pategan,1344,0.479700741055916,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
Mixed,Mixed,pategan,1536,0.5024507522878858,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
Mixed,Mixed,pategan,1728,0.3626299390630602,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
Mixed,Mixed,pategan,1920,0.5390332266309338,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
Mixed,Mixed,pategan,2112,0.5332837066612529,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
Mixed,Mixed,rtvae,192,0.27561705310396417,191,191,step_192_real.parquet,step_192_synth.parquet,
Mixed,Mixed,rtvae,384,0.2330598035558871,383,383,step_384_real.parquet,step_384_synth.parquet,
