metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
delta-presence,delta_presence,adsgan,192,5.99999998,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,adsgan,384,2.1538461532938857,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,adsgan,576,3.9999999959999997,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,adsgan,768,3.49999999125,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,adsgan,960,7.4999999625000004,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,adsgan,1152,2.7222222214660494,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,adsgan,1344,1.896103895857649,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,adsgan,1536,10.999999890000002,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,adsgan,1728,8.909090900991735,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,adsgan,1920,97.99999902000002,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,adsgan,2112,5.1999999896,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
delta-presence,delta_presence,bayesian_network,192,3.6666666544444446,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,bayesian_network,384,14.999999850000002,383,383,step_384_real.parquet,step_384_synth.parquet,
delta-presence,delta_presence,bayesian_network,576,1.9999999800000003,575,575,step_576_real.parquet,step_576_synth.parquet,
delta-presence,delta_presence,bayesian_network,768,1.5652173906238185,767,767,step_768_real.parquet,step_768_synth.parquet,
delta-presence,delta_presence,bayesian_network,960,1.2088353413169142,959,959,step_960_real.parquet,step_960_synth.parquet,
delta-presence,delta_presence,bayesian_network,1152,1.3461538456360946,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
delta-presence,delta_presence,bayesian_network,1344,1.52631578867036,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
delta-presence,delta_presence,bayesian_network,1536,1.2971014491813695,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
delta-presence,delta_presence,bayesian_network,1728,1.202531645417401,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
delta-presence,delta_presence,bayesian_network,1920,1.4399999997119999,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
delta-presence,delta_presence,bayesian_network,2112,1.5113636361918905,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
delta-presence,delta_presence,ctgan,192,2.999999995,191,191,step_192_real.parquet,step_192_synth.parquet,
delta-presence,delta_presence,ctgan,384,7.4999999625000004,383,383,step_384_real.parquet,step_384_synth.parquet,
