metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
identifiability_score,identifiability_score,adsgan,192,0.418848167539267,191,191,step_192_real.parquet,step_192_synth.parquet,
identifiability_score,identifiability_score,adsgan,384,0.45430809399477806,383,383,step_384_real.parquet,step_384_synth.parquet,
identifiability_score,identifiability_score,adsgan,576,0.42782608695652175,575,575,step_576_real.parquet,step_576_synth.parquet,
identifiability_score,identifiability_score,adsgan,768,0.439374185136897,767,767,step_768_real.parquet,step_768_synth.parquet,
identifiability_score,identifiability_score,adsgan,960,0.4421272158498436,959,959,step_960_real.parquet,step_960_synth.parquet,
identifiability_score,identifiability_score,adsgan,1152,0.4309296264118158,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
identifiability_score,identifiability_score,adsgan,1344,0.39538346984363365,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
identifiability_score,identifiability_score,adsgan,1536,0.3511400651465798,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
identifiability_score,identifiability_score,adsgan,1728,0.35321366531557613,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
identifiability_score,identifiability_score,adsgan,1920,0.3236060448150078,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
identifiability_score,identifiability_score,adsgan,2112,0.3505447655139744,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,192,0.45549738219895286,191,191,step_192_real.parquet,step_192_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,384,0.38642297650130547,383,383,step_384_real.parquet,step_384_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,576,0.4156521739130435,575,575,step_576_real.parquet,step_576_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,768,0.4315514993481095,767,767,step_768_real.parquet,step_768_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,960,0.43274244004171014,959,959,step_960_real.parquet,step_960_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,1152,0.45438748913987836,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,1344,0.4482501861504095,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,1536,0.4592833876221498,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
identifiability_score,identifiability_score,bayesian_network,1728,0.4730746960046323,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
