metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
k-anonymization,k_anonymization,adsgan,192,3.00000001,191,191,step_192_real.parquet,step_192_synth.parquet,
k-anonymization,k_anonymization,adsgan,384,1.00000001,383,383,step_384_real.parquet,step_384_synth.parquet,
k-anonymization,k_anonymization,adsgan,576,5.00000001,575,575,step_576_real.parquet,step_576_synth.parquet,
k-anonymization,k_anonymization,adsgan,768,5.00000001,767,767,step_768_real.parquet,step_768_synth.parquet,
k-anonymization,k_anonymization,adsgan,960,9.00000001,959,959,step_960_real.parquet,step_960_synth.parquet,
k-anonymization,k_anonymization,adsgan,1152,2.00000001,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-anonymization,k_anonymization,adsgan,1344,38.00000001,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-anonymization,k_anonymization,adsgan,1536,47.00000001,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-anonymization,k_anonymization,adsgan,1728,31.00000001,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-anonymization,k_anonymization,adsgan,1920,4.00000001,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-anonymization,k_anonymization,adsgan,2112,32.00000001,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,192,2.00000001,191,191,step_192_real.parquet,step_192_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,384,1.00000001,383,383,step_384_real.parquet,step_384_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,576,7.00000001,575,575,step_576_real.parquet,step_576_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,768,6.00000001,767,767,step_768_real.parquet,step_768_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,960,3.00000001,959,959,step_960_real.parquet,step_960_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,1152,5.00000001,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,1344,5.00000001,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,1536,3.00000001,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-anonymization,k_anonymization,bayesian_network,1728,29.00000001,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
