metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
k-map,kmap,adsgan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
k-map,kmap,adsgan,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
k-map,kmap,adsgan,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
k-map,kmap,adsgan,768,4.0,767,767,step_768_real.parquet,step_768_synth.parquet,
k-map,kmap,adsgan,960,2.0,959,959,step_960_real.parquet,step_960_synth.parquet,
k-map,kmap,adsgan,1152,2.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-map,kmap,adsgan,1344,6.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-map,kmap,adsgan,1536,1.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-map,kmap,adsgan,1728,11.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-map,kmap,adsgan,1920,1.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-map,kmap,adsgan,2112,5.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-map,kmap,bayesian_network,192,2.0,191,191,step_192_real.parquet,step_192_synth.parquet,
k-map,kmap,bayesian_network,384,1.0,383,383,step_384_real.parquet,step_384_synth.parquet,
k-map,kmap,bayesian_network,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
k-map,kmap,bayesian_network,768,3.0,767,767,step_768_real.parquet,step_768_synth.parquet,
k-map,kmap,bayesian_network,960,2.0,959,959,step_960_real.parquet,step_960_synth.parquet,
k-map,kmap,bayesian_network,1152,3.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-map,kmap,bayesian_network,1344,19.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-map,kmap,bayesian_network,1536,20.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-map,kmap,bayesian_network,1728,3.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-map,kmap,bayesian_network,1920,15.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-map,kmap,bayesian_network,2112,23.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-map,kmap,ctgan,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
k-map,kmap,ctgan,384,2.0,383,383,step_384_real.parquet,step_384_synth.parquet,
k-map,kmap,ctgan,576,4.0,575,575,step_576_real.parquet,step_576_synth.parquet,
k-map,kmap,ctgan,768,2.0,767,767,step_768_real.parquet,step_768_synth.parquet,
k-map,kmap,ctgan,960,3.0,959,959,step_960_real.parquet,step_960_synth.parquet,
k-map,kmap,ctgan,1152,6.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-map,kmap,ctgan,1344,2.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-map,kmap,ctgan,1536,2.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-map,kmap,ctgan,1728,3.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-map,kmap,ctgan,1920,2.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-map,kmap,ctgan,2112,4.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
k-map,kmap,ddpm,192,1.0,191,191,step_192_real.parquet,step_192_synth.parquet,
k-map,kmap,ddpm,384,6.0,383,383,step_384_real.parquet,step_384_synth.parquet,
k-map,kmap,ddpm,576,1.0,575,575,step_576_real.parquet,step_576_synth.parquet,
k-map,kmap,ddpm,768,1.0,767,767,step_768_real.parquet,step_768_synth.parquet,
k-map,kmap,ddpm,960,1.0,959,959,step_960_real.parquet,step_960_synth.parquet,
k-map,kmap,ddpm,1152,2.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
k-map,kmap,ddpm,1344,20.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
k-map,kmap,ddpm,1536,23.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
k-map,kmap,ddpm,1728,28.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
k-map,kmap,ddpm,1920,37.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
k-map,kmap,ddpm,2112,18.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
