metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,192,0.45271164021164023,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,384,0.5016576411530101,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,576,0.5454990637725422,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,768,0.49540855058657574,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,960,0.5115163301250653,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,1152,0.4861207317768772,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,1344,0.4972451928198572,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,1536,0.5137973693330072,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,1728,0.4975059338097155,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,1920,0.5033797111371935,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,adsgan,2112,0.4988516912304153,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,192,0.5261243386243386,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,384,0.5022965879265092,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,576,0.4959130471173889,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,768,0.4942836287754034,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,960,0.5142981403474399,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,1152,0.48207101286085874,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,1344,0.4823230561755952,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,1536,0.49969093611406795,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,1728,0.5006830861611536,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,1920,0.4995756385098787,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,bayesian_network,2112,0.4954832219254038,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,ctgan,192,0.4843982514880952,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,ctgan,384,0.5051472981770834,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,ctgan,576,0.5150115002211799,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_gmm,detection_gmm,synthcity.metrics.eval_detection,ctgan,768,0.5388847400939543,767,767,step_768_real.parquet,step_768_synth.parquet,
