metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,192,0.6987563037367724,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,384,0.6068860151636319,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,576,0.5984816981166375,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,768,0.6214964424083437,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,960,0.6406555418136103,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,1152,0.6346977963552244,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,1344,0.6953662072963275,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,1536,0.67924531611911,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,1728,0.646374833657631,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,1920,0.7096547619775365,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,adsgan,2112,0.612645596935323,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,192,0.5237591455853174,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,384,0.6504220236630577,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,576,0.6543774030595549,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,768,0.5695764479294322,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,960,0.5542542511592216,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,1152,0.5424490805901568,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,1344,0.5688607644714766,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,1536,0.5557920253129077,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,1728,0.5439210198744185,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,1920,0.5342014500195618,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,bayesian_network,2112,0.5430065417659803,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,ctgan,192,0.6151362020502645,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,ctgan,384,0.6864683296423885,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,ctgan,576,0.6052402321026032,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_linear,detection_linear,synthcity.metrics.eval_detection,ctgan,768,0.7189227733736724,767,767,step_768_real.parquet,step_768_synth.parquet,
