metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,192,0.4935205853174603,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,384,0.43771001860851383,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,576,0.5312357975203607,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,768,0.4833586349985958,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,960,0.5398525615122126,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,1152,0.4931562656291551,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,1344,0.4804056016632045,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,1536,0.6007255584059863,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,1728,0.5578865232278246,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,1920,0.48919662451706775,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,adsgan,2112,0.5784977418850588,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,192,0.5698965567129629,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,384,0.5580913713910761,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,576,0.5527291910949317,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,768,0.5125473920036766,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,960,0.5309085959949712,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,1152,0.5182075998490535,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,1344,0.5084529952702208,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,1536,0.5168897537958054,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,1728,0.512688353028829,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,1920,0.5192793234923138,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,bayesian_network,2112,0.5284992134888872,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,192,0.514313228546627,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,384,0.5187516500317831,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,576,0.4958375372673065,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,768,0.5609528186274509,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,960,0.5536441138894331,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,1152,0.6111856476618028,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,1344,0.5376375122283953,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,1536,0.5161565729627715,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,1728,0.6865360826651682,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,1920,0.5495316989283793,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ctgan,2112,0.5557225521030796,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,192,0.6083945622519841,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,384,0.520444854976624,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,576,0.3867801047120419,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,768,0.48441513161254085,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,960,0.37887942769559824,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,1152,0.2245047340286088,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,1344,0.4272598447499106,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,1536,0.41156641393413906,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,1728,0.44684929381374133,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,1920,0.6376051982467723,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,ddpm,2112,0.5055252433421589,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,192,0.5430565889550264,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,384,0.5700436088982529,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,576,0.5377985266536989,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,768,0.5020413965960733,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,960,0.6226024880404258,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,1152,0.7058194091017778,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,1344,0.5757660272975592,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,1536,0.543887825783607,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,1728,0.3734635250673756,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,1920,0.6067094963443858,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,decaf,2112,0.6469395394236294,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,192,0.8303442253637566,191,191,step_192_real.parquet,step_192_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,384,0.059600189289083005,383,383,step_384_real.parquet,step_384_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,576,0.8343235538845866,575,575,step_576_real.parquet,step_576_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,768,0.10529212702333539,767,767,step_768_real.parquet,step_768_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,960,0.9976986901613115,959,959,step_960_real.parquet,step_960_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,1152,0.06710746078262499,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,1344,0.34135418643303234,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,1536,0.9991574097675042,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,1728,0.5725577873739153,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
detection_mlp,detection_mlp,synthcity.metrics.eval_detection,dpgan,1920,0.6395898539384456,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
