metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,192,,,,step_192_real.parquet,step_192_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 4 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,384,,,,step_384_real.parquet,step_384_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,576,,,,step_576_real.parquet,step_576_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,768,,,,step_768_real.parquet,step_768_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,960,,,,step_960_real.parquet,step_960_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,1152,,,,step_1152_real.parquet,step_1152_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,1344,,,,step_1344_real.parquet,step_1344_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,1536,,,,step_1536_real.parquet,step_1536_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,1728,,,,step_1728_real.parquet,step_1728_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,1920,,,,step_1920_real.parquet,step_1920_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,adsgan,2112,,,,step_2112_real.parquet,step_2112_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,192,,,,step_192_real.parquet,step_192_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 4 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,384,,,,step_384_real.parquet,step_384_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,576,,,,step_576_real.parquet,step_576_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,768,,,,step_768_real.parquet,step_768_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,960,,,,step_960_real.parquet,step_960_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,1152,,,,step_1152_real.parquet,step_1152_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,1344,,,,step_1344_real.parquet,step_1344_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,1536,,,,step_1536_real.parquet,step_1536_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,1728,,,,step_1728_real.parquet,step_1728_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,1920,,,,step_1920_real.parquet,step_1920_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,bayesian_network,2112,,,,step_2112_real.parquet,step_2112_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,192,,,,step_192_real.parquet,step_192_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5], got [1 2 3 4 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,384,,,,step_384_real.parquet,step_384_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,576,,,,step_576_real.parquet,step_576_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,768,,,,step_768_real.parquet,step_768_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,960,,,,step_960_real.parquet,step_960_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,1152,,,,step_1152_real.parquet,step_1152_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,1344,,,,step_1344_real.parquet,step_1344_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
feat_rank_distance,feat_rank_distance,synthcity.metrics.eval_performance,ctgan,1536,,,,step_1536_real.parquet,step_1536_synth.parquet,"Invalid classes inferred from unique values of `y`.  Expected: [0 1 2 3 4 5 6], got [1 2 3 4 5 6 7]"
