metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,192,0.8439333333333333,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,384,0.8852944109946527,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,576,0.8725149127052907,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,768,0.8999798982689661,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,960,0.9083973533431235,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,1152,0.8633828379805345,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,1344,0.8929826021521037,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,1536,0.9017416809334625,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,1728,0.8633219504200303,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,1920,0.8663294608432749,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,adsgan,2112,0.9163827120937477,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,192,0.5783929257977701,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,384,0.8033489919302491,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,576,0.8380339094751718,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,768,0.911739077001989,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,960,0.9186666547980679,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,1152,0.9088051857265814,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,1344,0.9119110410619727,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,1536,0.9042872759546879,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,1728,0.9169274550822131,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,1920,0.9265684088685725,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,bayesian_network,2112,0.9410243531794764,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,192,0.5910547225426118,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,384,0.5983489256268957,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,576,0.8743288888888889,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,768,0.8863078503341084,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,960,0.9105230798411285,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,1152,0.892686832717532,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,1344,0.8896062856964515,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,1536,0.9006789627132585,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,1728,0.8805708003133933,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,1920,0.8975198250776327,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ctgan,2112,0.9098636526172835,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,192,0.5763936947327951,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,384,0.8855623541844175,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,576,0.7464587579167256,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,768,0.7004468286384946,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,960,0.744187527353272,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,1152,0.6484854670376053,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,1344,0.8079374863456197,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,1536,0.795785692831721,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,1728,0.8200206782856437,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,1920,0.6864283164284113,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,ddpm,2112,0.8160841700762806,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,192,0.44846853774189416,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,384,0.7159280808686576,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,576,0.7609600821308856,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,768,0.7257216594066986,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,960,0.7623952219909826,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,1152,0.6084927132285592,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,1344,0.5785751504331152,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,1536,0.6291084320578437,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,1728,0.4940628556197699,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,1920,0.6042687025331321,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,decaf,2112,0.7715097782784714,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,192,0.38046905036524414,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,384,0.5799098576136005,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,576,0.47979252147452867,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,768,0.4695762497881541,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,960,0.4137150318694358,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,1152,0.563526977635231,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,1344,0.5625182264602677,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,1536,0.322277763696006,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,1728,0.5063703363182768,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,1920,0.5196569230650961,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,dpgan,2112,0.5918886461559195,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,great,192,0.5071639113161605,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,great,384,0.5778279721474646,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,great,576,0.8970633771072664,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,great,768,0.9130500855846182,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,192,0.5652697680379343,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,384,0.5383826733307702,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,576,0.8171095531686531,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,768,0.8446467208547564,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,960,0.8641248499712108,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,1152,0.8270209635757101,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,1344,0.7969576306745871,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,1536,0.7671686623328501,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,1728,0.6285134962498056,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,1920,0.6632604994434234,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,nflow,2112,0.6947890385599117,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,192,0.5020633089837242,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,384,0.5273772907855953,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,576,0.7643355899329709,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,768,0.7733702824236492,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,960,0.7086831325433393,959,959,step_960_real.parquet,step_960_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,1152,0.7133289736357415,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,1344,0.6621728583863037,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,1536,0.5954380466786021,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,1728,0.6268263097310024,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,1920,0.5332306280149618,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,pategan,2112,0.48492656689180497,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,rtvae,192,0.5770601050877868,191,191,step_192_real.parquet,step_192_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,rtvae,384,0.5866600452817292,383,383,step_384_real.parquet,step_384_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,rtvae,576,0.8584571473607658,575,575,step_576_real.parquet,step_576_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,rtvae,768,0.8257132482577298,767,767,step_768_real.parquet,step_768_synth.parquet,
linear_model,linear_model,synthcity.metrics.eval_performance,rtvae,960,0.8596226386614401,959,959,step_960_real.parquet,step_960_synth.parquet,
