metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
mlp,mlp,synthcity.metrics.eval_performance,adsgan,192,0.6754166666666667,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,384,0.6798076363416486,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,576,0.5928941194223778,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,768,0.5990302865432888,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,960,0.5212212598045265,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,1152,0.5097308313167151,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,1344,0.48960099733327783,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,1536,0.4193290352778892,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,1728,0.4800382945550461,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,1920,0.43171178357722884,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,adsgan,2112,0.54772310912683,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,192,0.42358067409970523,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,384,0.7176867432587373,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,576,0.4188472516050279,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,768,0.5131468773901362,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,960,0.5201287325283378,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,1152,0.6178520830054847,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,1344,0.477324842476133,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,1536,0.6556908836191211,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,1728,0.44549328604793126,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,1920,0.43247134661384234,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,bayesian_network,2112,0.4317620554197601,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,192,0.4503908753043701,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,384,0.4484733435858003,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,576,0.48773925925925915,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,768,0.5724349989043349,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,960,0.4711909627680176,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,1152,0.4781791781188203,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,1344,0.4196333517125628,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,1536,0.4522293907158709,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,1728,0.43135363867697235,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,1920,0.4549906107789355,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ctgan,2112,0.413097767310494,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,192,0.4507625272331155,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,384,0.3103330232642984,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,576,0.6016641779519093,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,768,0.6613158860014391,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,960,0.6693524836014921,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,1152,0.5734168759788032,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,1344,0.5342163599416027,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,1536,0.5609693594564115,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,1728,0.48142592901436054,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,1920,0.4407997776595494,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,ddpm,2112,0.4654973677866982,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,192,0.21428937588107136,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,384,0.6740822284462163,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,576,0.4543619080018459,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,768,0.47945531413394527,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,960,0.6600467230848023,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,1152,0.4879366452823814,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,1344,0.5277508430866892,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,1536,0.6277712166578048,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,1728,0.5599958183504191,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,1920,0.44865140538457154,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,decaf,2112,0.47303124878280345,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,192,0.3145969498910675,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,384,0.4645712672149968,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,576,0.5324145148587417,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,768,0.5093135169796573,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,960,0.4192276792494811,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,1152,0.5912893575507955,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,1344,0.5655694375590352,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,1536,0.42836020634809113,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,1728,0.5126241748760113,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,1920,0.4394798453949322,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,dpgan,2112,0.4870628660632823,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,great,192,0.4252466999871844,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,great,384,0.4589847921739502,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,great,576,0.5005140594522218,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,great,768,0.6081150547715636,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,192,0.2522106881968474,191,191,step_192_real.parquet,step_192_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,384,0.4429546328335256,383,383,step_384_real.parquet,step_384_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,576,0.717772703338424,575,575,step_576_real.parquet,step_576_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,768,0.6034597426091781,767,767,step_768_real.parquet,step_768_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,960,0.4632886687868698,959,959,step_960_real.parquet,step_960_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,1152,0.5251688473384183,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,1344,0.5110877902964605,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,1536,0.5523269552828433,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,1728,0.5223396133443229,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,1920,0.4590659397880504,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,nflow,2112,0.47756007205719336,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
mlp,mlp,synthcity.metrics.eval_performance,pategan,192,0.443034730231962,191,191,step_192_real.parquet,step_192_synth.parquet,
