metric,metric_requested,module,method,step,score,n_real,n_synth,real_file,synth_file,error
xgb,xgb,synthcity.metrics.eval_performance,adsgan,192,0.8125,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,384,0.8610832613061344,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,576,0.8956034021187533,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,768,0.8834499776991561,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,960,0.9392438228844608,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,1152,0.9062117884306099,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,1344,0.919090427542489,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,1536,0.9181761206855027,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,1728,0.9010431358340302,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,1920,0.9053460497144298,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,adsgan,2112,0.9442344091286211,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,bayesian_network,192,0.6041009867999487,191,191,step_192_real.parquet,step_192_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,bayesian_network,384,0.847170339971599,383,383,step_384_real.parquet,step_384_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,bayesian_network,576,0.8047406946797957,575,575,step_576_real.parquet,step_576_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,bayesian_network,768,0.9543094517547654,767,767,step_768_real.parquet,step_768_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,bayesian_network,960,0.9619925235857636,959,959,step_960_real.parquet,step_960_synth.parquet,
xgb,xgb,synthcity.metrics.eval_performance,bayesian_network,1152,0.9687207630125395,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
