metric,metric_requested,method,step,score,n_real,n_synth,real_file,synth_file,error
distant_values_probability,distant_values_probability,adsgan,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,768,0.0,767,767,step_768_real.parquet,step_768_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,960,0.0,959,959,step_960_real.parquet,step_960_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,1152,0.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,1344,0.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,1536,0.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,1728,0.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,1920,0.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
distant_values_probability,distant_values_probability,adsgan,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,768,0.0,767,767,step_768_real.parquet,step_768_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,960,0.0,959,959,step_960_real.parquet,step_960_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,1152,0.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,1344,0.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,1536,0.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,1728,0.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,1920,0.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
distant_values_probability,distant_values_probability,bayesian_network,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,768,0.0,767,767,step_768_real.parquet,step_768_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,960,0.0,959,959,step_960_real.parquet,step_960_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,1152,0.0,1151,1151,step_1152_real.parquet,step_1152_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,1344,0.0,1343,1343,step_1344_real.parquet,step_1344_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,1536,0.0,1535,1535,step_1536_real.parquet,step_1536_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,1728,0.0,1727,1727,step_1728_real.parquet,step_1728_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,1920,0.0,1919,1919,step_1920_real.parquet,step_1920_synth.parquet,
distant_values_probability,distant_values_probability,ctgan,2112,0.0,2111,2111,step_2112_real.parquet,step_2112_synth.parquet,
distant_values_probability,distant_values_probability,ddpm,192,0.0,191,191,step_192_real.parquet,step_192_synth.parquet,
distant_values_probability,distant_values_probability,ddpm,384,0.0,383,383,step_384_real.parquet,step_384_synth.parquet,
distant_values_probability,distant_values_probability,ddpm,576,0.0,575,575,step_576_real.parquet,step_576_synth.parquet,
