run_id,algorithm,step,rows,real_file,synth_file
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,1,191,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0192_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_192_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,2,383,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0384_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_384_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,3,575,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0576_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_576_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,4,767,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0768_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_768_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,5,959,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0960_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_960_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,6,1151,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1152_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_1152_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,7,1343,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1344_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_1344_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,8,1535,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1536_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_1536_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,9,1727,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1728_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_1728_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,10,1919,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1920_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_1920_synth.parquet
85607f09-eb9e-4e4b-82e9-531e78cebb19,ddpm,11,2111,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_2112_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\ddpm\step_2112_synth.parquet
