run_id,algorithm,step,rows,real_file,synth_file
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,1,191,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0192_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_192_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,2,383,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0384_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_384_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,3,575,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0576_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_576_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,4,767,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0768_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_768_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,5,959,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_0960_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_960_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,6,1151,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1152_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_1152_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,7,1343,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1344_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_1344_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,8,1535,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1536_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_1536_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,9,1727,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1728_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_1728_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,10,1919,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_1920_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_1920_synth.parquet
4823d510-22b4-4f13-8574-4ea50c5399bf,pategan,11,2111,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\real_data\step_2112_real.parquet,C:\labs\MAGISTER\Diplom\DIPLOM_PYTHON\synth_data\pategan\step_2112_synth.parquet
